No,Description,Amount,Percent,Note,Action
1,Total Call,0,100%
2,Normal Call,0,NaN%,EC 100,Bypass
3,OK,0,NaN%,EC 200,Bypass
4,VLR is Whitelisted,0,NaN%,EC 201,Bypass
5,A Number is Whitelisted,0,NaN%,EC 202,Bypass
6,Not Roaming,0,NaN%,EC 400,Block
7,Blacklisted,0,NaN%,EC 401,Block
8,Forbidden VLR and IMSI,0,NaN%,EC 403,Block
9,Unknown Subscriber,0,NaN%,EC 409,Block
10,Route Not Found,0,NaN%,EC 422,Bypass
11,Calling is Temporary Blacklisted,0,NaN%,EC 429,Block
12,Internal Error,0,NaN%,EC 500,Block
13,Invalid Subscriber Information,0,NaN%,EC 502,Block
14,Forbidden HLR,0,NaN%,EC 503,Bypass
15,HLR Late Response,0,NaN%,EC 504,Bypass
16,Teleservice Not Provisioned,0,NaN%,EC 505,Block
17,Call Barred,0,NaN%,EC 507,Block
18,Absent Sri-Sm ,0,NaN%,EC 508,Block
19,Absent Subscriber ,0,NaN%,EC 509,Block
20,Not Extended,0,NaN%,EC 510,Block
